name,ground_truth_poses,estimated_poses,matched_poses,estimated_match_ratio,duration_coverage_ratio,ate_rmse_m,rpe_translation_rmse_m,rpe_rotation_rmse_rad
baseline,3000,200,198,0.98999999999999999,0.2273177442434301,0.024133918616057584,0.0049233785965088327,0.0061073057441537633
adaptive,3000,200,198,0.98999999999999999,0.2273177442434301,0.024610954532735003,0.0049838885076541294,0.0061178608796480663
