mode,degradation,processed_frames,valid_poses,lost_frames,tracking_success_rate,recovery_events,mean_recovery_frames,max_recovery_frames,keyframes,map_points,local_ba_runs,total_runtime_s,mean_frame_ms,p50_frame_ms,p95_frame_ms,fps
baseline,none,792,792,0,1,0,0,0,114,79790,113,47.5725,60.0663,40.1016,214.252,16.6483
adaptive,none,792,792,0,1,0,0,0,92,63983,90,37.944,47.909,34.6564,164.141,20.8729
