name,ground_truth_poses,estimated_poses,matched_poses,estimated_match_ratio,duration_coverage_ratio,ate_rmse_m,rpe_translation_rmse_m,rpe_rotation_rmse_rad
baseline,3000,792,790,0.99747474747474751,0.88301937967082589,0.062080980844525471,0.0055178933791977221,0.0067433432057425451
adaptive,3000,792,790,0.99747474747474751,0.88301937967082589,0.062442240668460908,0.0055369313190299033,0.0067454909595818426
